"","OTU","destination","shared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"11","09f74334ddd0008931d05c020c8d7730","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera","Genus_Thauera_A_597130"
"12","0b5a2a634b682228a8ccb85a217b5d25","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Methylobacteriumsp001424705"
"13","0bbe0ac853b20fb81326081587a428ca","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Gordonia","Genus_Gordonia_B_376796"
"14","0c96f776da7051d25f4fd62ba69ba324","late water","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","UXAT02","Defluviicoccus","Defluviicoccus_Aseviourii"
"15","0cf33eb4b86b224b3c158207fb9c8c48","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Family_Rhodobacteraceae","Family_Rhodobacteraceae"
"16","0cf4077d7201a18548a12acd3e1d505b","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Asaia","Genus_Asaia"
"17","0d0e3101171c782e1ede9e291ab9c7bc","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Family_Xanthobacteraceae","Family_Xanthobacteraceae_503485"
"18","0d2508498ea77db8224ea5b23ead964c","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonasdiminuta"
"19","0d87b112bc336b97248bf4757a668689","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Genus_Bacillus_A"
"20","0dc8e0e89e89cf4f0c71808666f6c6e7","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Family_Pseudomonadaceae","Family_Pseudomonadaceae"
"21","0e96f958bdaf9979b03aa574d7299f4c","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Family_Bacillaceae","Family_Bacillaceae_H_294103"
"22","0eb8e63cb8f7cb7aa58b403dc29da7de","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobactersoli"
"23","0f41f629bff75e5c7f99d537e6792647","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonasalginatilytica"
"24","0f5087526a3efb7b3c1cd1277d483f0d","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Leucobacter","Genus_Leucobacter"
"25","0f6f614f608389925a848e37b2a8a24b","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges","Alkanindigesillinoisensis"
"26","10108d29ee667e6f5b413c7bbaf7991d","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"27","107aa7e6b56274803bffd1ccff5b2ee6","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Genus_Acinetobacter"
"28","10828f7f8594c7e8653b2122aefcf7c5","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","JC017","JC017sp004296775"
"29","10cde2fa4db56b195187e547f870d34b","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Tepidiphilus","Tepidiphilussuccinatimandens"
"30","1187d3f6bbc3c560b79f47cf9ad873bd","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Genus_Stenotrophomonas_A_615274"
"31","1189d4ef3af60ba943cc73161a4097a9","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Genus_Corynebacterium"
"32","131f8b9807185e055d725c468cd46a88","lost","lost","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Family_Microbacteriaceae","Family_Microbacteriaceae"
"33","1339efc8323a6ca9365c11eac6c4bd6b","lost","lost","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter","Moheibactersediminis"
"34","1369aba02dd8b749b4c4c2a799d34207","both","shared","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonasnasdae_A_487984"
"35","139efa286f85ad39137e0c1026b574fc","late water","shared","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Microbacteriaceae","Leucobacter","Genus_Leucobacter"
"36","13f32eba3b63edbbf5169bf74a696b73","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Genus_Methylobacterium"
"37","16469cc40587771b7602fa59352c70ab","late water","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family_Burkholderiaceae","Family_Burkholderiaceae_A_580492"
"38","1747759a3f6af9d88fa2c80ac81f3c9e","eggs","shared","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Cellulomonadaceae","Cellulomonas","Genus_Cellulomonas"
"39","18146030be7b9150c3633d1dee9e58a1","lost","lost","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Weizmannia","Weizmanniacoagulans"
"40","191c4aafc99846b8f1b7d87ecad90d70","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Stenotrophobium","Stenotrophobiumrhamnosiphilum"
"41","1b158b8b2922d4fcad5d9cea607cbb7d","late water","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Genus_Escherichia_710834"
"42","1b2567820cc1e0a34960a02c766161e4","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
"43","1bfa5c0bbafb3a1bff066a17234ff32e","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Massilia","Genus_Massilia"
"44","1bfddc56f0549c7953359140bb8c64b1","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Serratia","Genus_Serratia_D_727363"
"45","1d1533db28dba4af61f1d5cc6633f2fa","both","shared","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Aquitalea","Aquitaleamagnusonii"
"46","1e81258348c55daeef435f6100eee461","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae_A"
"47","1ed3de95a51db2df9676955423442d33","lost","lost","Bacteria","Firmicutes","Clostridia","Oscillospirales","Acutalibacteraceae","Caproiciproducens","Caproiciproducenssp000752215"
"48","1ee27fee30b2e6832a2be5e28f0978f3","eggs","shared","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium","Genus_Sediminibacterium"
"49","1f7409f78cfcad036d81d8763d7e6277","lost","lost","Bacteria","Proteobacteria","Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria","Class_Alphaproteobacteria"
"50","20ad5b343a158e617aa2f39adbf005b6","lost","lost","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Massilia","Genus_Massilia"
