,OTU,destination,shared,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genus_use
141,5f6d574b15cbc75cdffbc84b329bb26a,lost,lost,Bacteria,Firmicutes,Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,Class_Bacilli,Other Firmicutes
142,5fb4727e4c4bba302c839b568cfde71c,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,Roseiarcusfermentans,Other Proteobacteria
143,619c3de5eeb611ade520111aaeba53df,lost,lost,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacterginsengisoli,Other Proteobacteria
144,625ecf7bcebfadce2c2bf682ed45b2b2,eggs,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,Family_Enterobacteriaceae_A,Other Proteobacteria
145,62d93060a86b3c0bb37b3634e5529004,both,shared,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,Rhodoblastusacidophilus,Other Proteobacteria
146,62f2ca0a35761f1dca706cd4bd60d153,lost,lost,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Family_Beijerinckiaceae,Family_Beijerinckiaceae,Other Proteobacteria
147,651b456fad22829867a61aff2a233caa,eggs,shared,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Genus_Weissella_A_338544,Other Firmicutes
148,65a13f1d1a0ce42556e49a570ddd8dcf,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Genus_Bifidobacterium_388775,Other Actinobacteriota
149,65e2fe387bfdf0fa880811cceac1d59e,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Genus_Achromobacter,Other Proteobacteria
150,66abaee179be7e5928c221b18207caf9,both,shared,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Family_Microbacteriaceae,Family_Microbacteriaceae,Other Actinobacteriota
151,677929eac52be081cdae08a0b9c70eb2,both,shared,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Family_Enterobacteriaceae,Family_Enterobacteriaceae_A,Other Proteobacteria
